Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2022-09-27,1309.2828369140625,1321.4497115967974,1294.6730910631973,1309.1887921085288,8561254
2022-09-28,1310.3631591796875,1320.8389473259947,1293.7335149931966,1295.612576017152,7022098
2022-09-29,1314.0743408203125,1324.5970364171378,1308.7659706219576,1319.9464063740722,6119965
2022-09-30,1327.9793701171875,1333.4757154205565,1292.793997952497,1304.9608723338763,8120130
2022-10-03,1309.470703125,1326.617135650224,1302.189341367713,1326.617135650224,4943169
2022-10-04,1342.9649658203125,1345.6426048996361,1328.496172684996,1333.8514508436433,6631341
2022-10-06,1367.157958984375,1371.5267991592684,1356.7761001044837,1357.6217005720102,6180672
2022-10-07,1363.446533203125,1369.6944335877329,1353.0647906197396,1358.8898334916714,3994466
2022-10-10,1374.204345703125,1376.4122194997192,1340.0993417608263,1340.0993417608263,5274677
2022-10-11,1337.7034912109375,1390.1762435379553,1334.227159757034,1374.2042259998866,12824774
2022-10-12,1342.3072509765625,1353.9574527349023,1328.0734548943815,1350.1054004174673,5481467
2022-10-13,1334.0394287109375,1350.997886043314,1329.4357061546941,1344.4681947048532,4821514
2022-10-14,1385.102783203125,1403.6585098222613,1378.5260699710261,1395.2027356667056,14990688
2022-10-17,1399.853271484375,1404.597945872697,1386.2771031004443,1387.5924685962061,4286396
2022-10-18,1412.77197265625,1419.5835688086443,1406.7120467823913,1418.6910607055675,4692004
2022-10-19,1395.62548828125,1413.9463324133694,1391.72652858877,1413.0538243439826,3553171
2022-10-20,1410.141357421875,1413.0538790486469,1385.0558241334734,1385.8074944127357,4583939
2022-10-21,1409.7655029296875,1414.932920634528,1401.16877599206,1409.577642706842,3594485
2022-10-24,1426.06640625,1429.7776206937965,1419.6306449930503,1426.67712403835,982837
2022-10-25,1434.0054931640625,1440.2063717214928,1429.0729578838,1435.6965793040242,3914341
2022-10-27,1447.4449462890625,1457.8453063295688,1436.5698030822646,1453.9511568286548,6760137
2022-10-28,1437.2821044921875,1451.2440914449348,1431.345865831638,1449.392031359708,3053981
2022-10-31,1460.457275390625,1468.768009924992,1453.4287452816984,1453.4287452816984,4542336
2022-11-01,1494.032470703125,1495.9320669786534,1469.4326757466004,1475.084044231591,4542692
